Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,Ecuador,-2.15281,-79.70581,08/2011,1,,Isl,"Diario Opinión (El Oro), ""El Oro: toman previsiones ante brote de sarampión,"" October 10, 2011.",http://www.diariopinion.com/primeraPlana/verArticulo.php?id=809978
Measles,Measles,Ecuador,-1.95748,-79.91927,10/2011,5,,Clst,"El Universo (Guayaquil), ""Van 93 casos de sarampión y su contagio avanza,"" October 15, 2011.",http://www.eluniverso.com/2011/10/15/1/1447/van-93-casos-sarampion-contagio-avanza.html
Measles,Measles,Ecuador,-1.83124,-78.18341,09/2011,26,,Clst,"Pinto, Roberto. ""26 niños hospitalizados por brote de sarampión."" El Universo (Guayaquil), September 27, 2011.",http://www.eluniverso.com/2011/09/27/1/1447/26-ninos-hospitalizados-brote-sarampion.html
Measles,Measles,Ecuador,-0.14648,-78.47519,1/2012,203,,Epd,"Hoy. ""203 cases of measles identified across the country."" January 24, 2012.",http://www.hoy.com.ec/noticias-ecuador/identificados-203-casos-de-sarampion-en-todo-el-pais-530447.html
Measles,Measles,Ecuador (Quito),-0.22315,-78.51268,10/2011,3,,Clst,"El Comercio , ""Confirman un caso de sarampión en Quito, dos más en observación,"" October 6, 2011.",http://www.elcomercio.com/sociedad/sarampion-nino-Quito-Baca_Ortiz_0_567543344.html
Measles,Measles,Ecuador (Tungurahua),-1.26353,-78.56609,09/2011-10/2011,68,,Epd,"El Universo (Guayaquil), ""El brote de sarampión,"" October 3, 2011.",http://www.eluniverso.com/2011/10/03/1/1364/brote-sarampion.htm
Mumps,Mumps,Egypt,26.82055,30.8025,10/2012,107,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Cairo),30.04442,31.23571,10/2012,12,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Fayoum),29.3084,30.84285,10/2012,38,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Beni Suef),29.06613,31.09938,10/2012,48,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Minya),28.25016,29.97405,10/2012,95,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Giza Governorate),28.76662,29.23208,10/2012,240,,Epd,"Herriman, Robert. ""Egypt mumps outbreak more than triples in one week."" Examiner.com. October 8, 2012.",http://www.examiner.com/article/egypt-mumps-outbreak-more-than-triples-one-week
Mumps,Mumps,Egypt (Marashda),30.06601,31.22006,10/2012,43,,Epd,"Laura Edmundson. ""Over 100 Egyptian Children Face Mumps Outbreak."" The Daily Disease. October 1, 2012.",http://www.healthmap.org/news/over-100-egyptian-children-face-mumps-outbreak-10112
Measles,Measles,England,52.35552,-1.17432,2/2014,10,,Clst,"Health Protection Report. ""UK measles cases in travellers returning from the Philippines."" February 7, 2014.",http://www.hpa.org.uk/hpr/archives/2014/news0514.htm#msls
Measles,Measles,Equatorial Guinea,1.650801,10.267895,11/2008,300,10,Epd,"Terra, ""Diez ninos mueren en distintos hospitales por una epidemia de sarampion,"" October 11, 2008.",http://terranoticias.terra.es/sociedad/articulo/ninos-mueren-distintos-hospitales-epidemia-2876425.htm
Measles,Measles,Estonia,58.59527,25.01361,9/2011-12/2012,3,,,"Measles and rubella monitoring, Surveillance Report, October 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monitoring-oct-2012.pdf
Measles,Measles,Ethiopia,9.145,40.489673,1/2011-12/2011,3255,,Epd,"World Health Organization. ""WHO: Measles deaths decline, but elimination progress stalls in some regions."" January 17, 2013",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Measles,Measles,Ethiopia,10.145,41.489513,10/2010,823,,Epd, Home - OCHA Ethiopia. OCHA | Coordination Saves Lives.,http://ochaonline.un.org/Default.aspx?alias=ochaonline.un.org/ethiopia
Measles,Measles,Ethiopia,9.23953,40.58229,1/2010-12/2010,8261,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Ethiopia,9.19412,40.57191,1/2009-12/2009,4470,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Ethiopia,9.145,41.486615,8/2011,47,3,Epd,"Bigongiari, Jeffery. ""U.N. planning measles vaccination campaign in Ethiopia."" Vaccine News Daily , August 9, 2011.",http://vaccinenewsdaily.com/news/258449-un-planning-measles-vaccination-campaign-in-ethiopia
Measles,Measles,Ethiopia,9.16591,40.51148,1/2008-12/2008,3100,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet. January 14, 2012.",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Polio,Polio,Ethiopia,6.66123,43.79085,1/2013-10/2013,6,,Epd,"Global Polio Eradication Initiative. ""Polio this week - as of 08 January 2014."" January 8, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Other,Typhoid Fever,Fiji,-17.77484,177.83638,1/2012,42,,Clst,"Malo, Maciu. ""922 screened for typhoid in Nanoko zone."" The Fiji Times Online, January 7, 2012.",http://www.fijitimes.com/story.aspx?id=190152
Rubella,Rubella,Fiji,-17.713371,178.9665012,7/2011,3,,Clst,"Gurdayal, Parijata. ""Rubella outbreak."" The Fiji Times Online, July 27, 2011.",http://www.fijitimes.com/story.aspx?id=176174
Rubella,Rubella,Fiji,-16.7199,178.065032,8/2011,28,,Clst,"Nabilivalu, Samison. ""Ministry confirms 28 rubella cases."" The Fiji Times Online, August 09, 2011.",http://www.fijitimes.com/story.aspx?id=177275
Other,Typhoid Fever                                 ,Fiji                                                    ,-17.713371,178.065032,7/2009,20,,2nd,"Ralogaivau,Theresa. ""Outbreak: School typhoid cases trigger health alert ."" The Fiji Times Online, July 10, 2009.",http://www.fijitimes.com/story.aspx?id=125140
Measles,Measles,Finland,61.92411,25.74815,08/2011,5,,2nd,"HELSINGIN SANOMAT, ""Record number of cases of measles diagnosed in Finland this year,"" June 5, 2011.",http://www.hs.fi/english/article/Record+number+of+cases+of+measles+diagnosed+in+Finland+this+year+/1135269452855
Measles,Measles,Finland (Lohja) ,60.25117,24.0675,1/2014,1,,Isl,"Yle Uutiset. ""Dozens of children tuhkarokkokaranteeniin - rokottamattomuus shut out of school."" January 24, 2014",http://yle.fi/uutiset/kymmenia_lapsia_tuhkarokkokaranteeniin__rokottamattomuus_sulki_ulos_koulusta/7050165
Measles,Measles,France,44.59047,-0.21973,1/2012-12/2012,859,,Epd,"TopActu.fr, ""La rougeole a fait six morts en France,"" January 22, 2013.",http://topactu.fr/sante/la-rougeole-a-fait-six-morts-en-france/18855/2013/01/22.html
Measles,Measles,France,45.17429,6.03149,1/2012,1,1,Isl,"HealthDay News. ""Fatal Case of Measles Without Rash Found in Young Woman."" Doctors Lounge, January 13, 2012",http://www.doctorslounge.com/index.php/news/pb/25973
Measles,Measles,France,46.227638,3.21453,1/2011-12/2011,14949,,Epd,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Measles,Measles,France,47.227638,3.9453631,1/2011-7/2011,464,6,Epd,"MesVaccines.net, ""l'épidémie de rougeole en régression,"" June 29, 2011.",http://www.mesvaccins.net/home/news.php?id_news=1613
Measles,Measles,France,46.22764,2.21375,1/2012-3/2012,350,,Epd,"Passeportsante.net. ""Vers la fin de l'épidémie de rougeole en France métropolitaine."" April 17, 2012.",http://www.passeportsante.net/fr/Actualites/Nouvelles/FicheExt.aspx?f=721389-201204171908
Measles,Measles,France (Mayotte),44.436078,-1.147844,8/2011,3,,2nd,"Center for Disease Control (Washington), ""In the News 2011 Measles Update,"" June 23, 2011.",http://wwwnc.cdc.gov/travel/notices/in-the-news/measles.htm
Measles,Measles,France (Nimes),43.836699,4.360054,5/2011,12,,Clst,"Tropical Medical Bureau, ""Measles cases reported from Nimes in southern France,"" May 13, 2011.",http://www.tmb.ie/exodus/news.asp?title=Measles-cases-reported-from-Nimes-in-southern-France&id=181997
Measles,Measles,France (Rhone-Alpes region),45.16958,5.450282,1/2011-2/2011,2000,,Epd,"World Radio Switzerland, ""Measles outbreak hits Geneva,"" February 22, 2011.",http://worldradio.ch/wrs/news/wrsnews/measles-outbreak-hits-geneva.shtml?23288
Measles,Measles,Georgia,43.40233,45.71875,1/2013-5/2013,2668,,Epd,"""Число инфицированных корью лиц в Грузии превысило 2,6 тысячи,"" News Georgia, May 9, 2013.",http://newsgeorgia.ru/society/20130507/215675071.html
Measles,Measles,Germany,50.92554,10.76111,11/2011-10/2012,183,,Clst,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Measles,Measles,Germany,51.165691,10.451526,9/2010-10/2010,13,,2nd,"Pfaff. ""Spotlight on measles 2010: Measles outbreak among travellers returning from a mass gathering, Germany, September to October 2010."" Eurosurveillance 15, no. 50 (2010).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19750
Measles,Measles,Germany (Bavaria),48.79045,11.49789,4/2013-5/2013,60,,Epd,"""Measles outbreak in Bavaria -- doctors sound the alarm,"" Kinderaerzrzte-im-netz, May 10, 2013.",http://www.kinderaerzte-im-netz.de/bvkj/aktuelles1/show.php3?id=4535&nodeid=26
Measles,Measles,Germany (Berlin),52.51917,13.40609,1/2013-6/2013,323,,Epd,"Langemak, Sheri. ""Schwere Masern-Epidemie in Berlin und Bayern."" Berliner Morgenpost. June 28, 2013.",http://www.morgenpost.de/web-wissen/gesundheit/article117531815/Schwere-Masern-Epidemie-in-Berlin-und-Bayern.html
Mumps,Mumps,Germany (Bavaria),48.790447,11.497889,8/2010-10/2010,115,,Epd,"Otto, W. ""Ongoing outbreak of mumps affecting adolescents and young adults in Bavaria, Germany, August to October 2010."" Eurosurveillance 15, no. 50 (2010).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19748
Measles,Measles,Germany (Berlin),52.523405,13.4114,1/2010,62,,Epd,"Bätzing-Feigenbaum. ""Spotlight on measles 2010: Preliminary report of an ongoing measles outbreak in a subpopulation with low vaccination coverage in Berlin, Germany, January-March 2010."" Eurosurveillance 15, no. 13 (2010).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19527
Measles,Measles,Germany (Hamburg),53.55108,9.99368,12/2008-6/2009,216,,Epd,"Eurosurveillance, ""Description of measles D4-Hamburg outbreak in Hamburg, Germany, December 2008 to June 2009, which disproportionally affected a local Roma community,"" June 14, 2012.",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=20194
Measles,Measles,Germany(Frankfurt),50.111445,8.680615,5/2011,45,,Epd,"Frankfurter Rundschau. ""Cases of Measles rising in Frankfurt."" Tropical Medical Bureau, May 6, 2011.",http://www.tmb.ie/exodus/news.asp?title=Cases-of-Measles-rising-in-Frankfurt&id=181970
Measles,Measles,Germany (Rhine-Erft),50.94365,6.73491,10/2013,29,,Clst,"Kölner Stadt-Anzeiger. ""Ill 29 people with measles."" October 7, 2013","http://www.ksta.de/erftstadt/waldorfschule-erftstadt-29-menschen-an-masern-erkrankt,15189182,23654256.html"
Measles,Measles,Ghana,9.39398,-0.82372,1/2013-2/2013,3,,Clst,"Ghana Web. ""New measles cases recorded in Tamale."" March 20, 2013.",http://www.ghanaweb.com/GhanaHomePage/health/artikel.php?ID=268271
Other,Meningitis,Ghana,7.946527,-1.023194,1/2010,96,17,Epd,"Ghana Web, ""Outbreak of CSM: 17 killed,"" February 22, 2010.",http://www.ghanaweb.com/GhanaHomePage/NewsArchive/artikel.php?ID=177228
Measles,Measles                                           ,Gibraltar                                          ,36.137741,-5.345374,11/2008,250,,Epd,"Panorama, ""Measles outbreak affects over 250 ,"" November 1, 2008.",http://www.panorama.gi/localnews/headlines.php?action=view_article&article=3776&offset=0
Measles,Measles,Greece,39.074208,21.824312,7/2010,126,,Epd,"Pervanidou. ""Spotlight on measles 2010: Ongoing measles outbreak in Greece, January–July 2010."" Eurosurveillance 15, no. 30 (2010).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19629
Mumps,Mumps,Guam,13.444304,144.793731,5/2010,142,,Epd,"ProMed Newsgroup. ""Update on Guam mumps outbreak."" Vhi Healthcare, May 6, 2010.",http://vhi.exodus.ie/news.asp?id=52140
Other,Rotavirus,Guatemala,15.783471,-90.230759,1/2010,4336,,Epd,"Pan American Health Organization. ""Epidemiological Alert: Rotavirus Situation Update."" March 30, 2010.",http://new.paho.org/hq/index.php?option=com_content&task=view&id=2678&Itemid=1167
Polio,Polio,Guinea,10.27709,-10.41504,1/2011-12/2011,3,,Clst,"Global Polio Eradication Initative. ""Case breakdown by country."" August, 2012.",http://polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Measles,Measles,Guinea,9.945587,-9.696645,1/2010-4/2010,1013,2,Epd,"UNICEF, ""Measles outbreaks threaten progress in child mortality in west and central Africa,"" April 22, 2010.",http://www.unicef.org/media/media_53399.html
Measles,Measles,Guinea,9.94559,-9.69665,11/2013-1/2014,37,1,Clst,"UNICEF, ""Measles outbreak threatens children's lives in Guinea."" January 21, 2014.",http://www.unicef.org/media/media_71798.html
Measles,Measles,Guinea,9.94559,-9.69664,1/2014-2/2014,1000,1,Epd,"Afriquinfos. ""Guinea: More than 1,000 measles cases including one death recorded."" February 1, 2014.",http://afriquinfos.com/articles/2014/2/1/guinee-plus-rougeole-dont-deces-enregistres-243348.asp
Other,Diptheria,Haiti,18.971187,-72.285215,10/2009,24,14,Clst,"Vaillant, Laetitia. ""DIPHTHERIA - HAITI: REQUEST FOR INFORMATION."" ProMed-Mail of International Society for Infectious Diseases, October 30, 2009.","http://apex.oracle.com/pls/otn/f?p=2400:1001:1720436792652856::::F2400_P1001_BACK_PAGE,F2400_P1001_ARCHIVE_NUMBER,F2400_P1001_USE_ARCHIVE:1001,20091030.3755,Y"
Polio,Polio,India               ,20.593684,78.96288,8/2011,5,,2nd,"Deb Roy, Sumitra. ""5 children contract polio from vaccine."" the Time of India, August 7, 2011/",http://articles.timesofindia.indiatimes.com/2011-08-07/india/29861028_1_polio-virus-oral-polio-vaccine-vaccine-derived-polio
Measles,Measles,India (Arunachal),27.25831,93.03759,1/2012,30,,Clst,"IBN Live News. ""Measles outbreak reported from Arunachal district."" January 19, 2012.",http://ibnlive.in.com/generalnewsfeed/news/measles-outbreak-reported-from-arunachal-district/952659.html
Polio,Polio,India (Bengal),22.98676,87.85498,3/2012,1,,Isl,"Sinha, Kounteya. ""Year's first case of vaccine-derived polio reported in Bengal."" The Times of India, March 19, 2012.",http://articles.timesofindia.indiatimes.com/2012-03-19/india/31209820_1_oral-polio-polio-vaccine-polio-virus
Measles,Measles,India (Bhopal),23.25993,77.41262,2/2012,50,,Epd,"The Times of India. ""Measles outbreak in Nalkheda village."" February 26, 2012.",http://articles.timesofindia.indiatimes.com/2012-02-26/bhopal/31101130_1_measles-outbreak-measles-cases-health-workers
Other,Typhoid Fever,India (Haryana),29.058776,76.085601,8/2010,43,,Epd,"India Express. ""43 typhoid cases reported from Panchkula, doctors warn against eating out
."" August 25, 2010.",http://www.indianexpress.com/news/43-typhoid-cases-reported-from-Panchkula--doctors-warn-against-eating-out/673785
Other,Diptheria,India (Haryana),29.06772,76.10916,9/2012,14,5,Clst,"Vishal Joshi. ""Diptheria Outbreak : Five Kids Die, Nine Refered to Delhi."" Hindustan Times. Sept 11, 2012.",http://www.hindustantimes.com/News-Feed/Chunk-HT-UI-PunjabSectionPage-TopStories/Diphtheria-outbreak-Five-kids-die-nine-referred-to-Delhi/Article1-925334.aspx
Measles,Measles,India (Hyderabad),17.385044,78.486671,1/2011-3/2011,345,,Epd,"Baseerat, Bushra. ""Alarming rise in measles cases in city.""  The Times of India, April 4, 2011.",http://articles.timesofindia.indiatimes.com/2011-04-04/hyderabad/29379646_1_measles-vaccinated-district-health-officials
Measles,Measles,India (Karnakata),15.317277,75.713888,8/2011,1,1,Isl,"Baseerat, Bushra. ""Alarming rise in measles cases in city."" The Times of India, April 4, 2011.",http://www.deccanherald.com/content/183132/boys-death-hamlet-measles-confirmed.html
Measles,Measles                                           ,India (Kashmir)                              ,34.149088,76.825965,9/2008,5,5,Clst,"Diwan , Piyush. ""Jammu, Kashmir Hit By Measles Epidemic."" Top News, September 18, 2008.",http://www.topnews.in/jammu-kashmir-hit-measles-epidemic-268545
Measles,Measles,India (Lucknow),26.846511,80.946683,7/2011,3,1,2nd,"MSN News, ""Child dies after being administered measles vaccine,"" July 22, 2011.",http://news.in.msn.com/national/article.aspx?cp-documentid=5309287
Measles,Measles,India,28.57552,77.24195,1/2011-12/2011,29339,,Epd,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Polio,Polio,India (Maharashtra),19.75148,75.71389,6/2013-8/2013,4,,Epd,"The Hindu. ""WHO investigating Maharashtra’s polio case."" June 8, 2013.",http://www.thehindu.com/news/national/who-investigating-maharashtras-polio-case/article4792320.ece
Whooping Cough,Whooping Cough,India (Rajasthan),27.023804,74.217933,7/2011,5,1,Clst,"Daily Bhaskar. ""Immunisation drive fares poorly, diphtheria cases up."" July 14, 2011.",http://daily.bhaskar.com/article/RAJ-JPR-immunisation-drive-fares-poorly-diphtheria-cases-up-2261591.html
Measles,Measles,India (Rayagada),19.16667,83.41667,4/2012,9,9,Clst,"TNN. ""Measles outbreak feared in Rayagada, 9 children killed."" The Times of India, April 29, 2012.",http://articles.timesofindia.indiatimes.com/2012-04-29/bhubaneswar/31475939_1_measles-outbreak-three-villagers-blood-samples
Measles,Measles,India (Uttar Pradesh),27.570589,80.098187,5/2011,5,2,Clst,"IBN Live News, ""Two children die of measles,"" May 15, 2011.",http://ibnlive.in.com/generalnewsfeed/news/two-children-die-of-measles/684678.html
Measles,Measles,India (Odisha),19.31496,84.79409,7/2013,20,1,Clst,"Times of India. ""Measles outbreak puts administration on toes."" July 6, 2013.",http://articles.timesofindia.indiatimes.com/2013-07-06/bhubaneswar/40406902_1_measles-berhampur-expert-team
Polio,Polio   ,India (Uttar Pradesh),27.570589,80.098187,10/2008,32,,Clst,"Adiga, Aravind. ""What's Behind India's Outbreak of Polio Paranoia."" Time, September 28, 2006.","http://www.time.com/time/health/article/0,8599,1540477,00.html"
Rubella,Rubella,Indonesia,-0.78928,113.92133,10/2011,3,,Clst,"7th Space. "" Suspected rubella outbreak involving three Indonesians investigated."" October 16, 2011.",http://7thspace.com/headlines/397065/suspected_rubella_outbreak_involving_three_indonesians_investigated.html
Measles,Measles,Indonesia,-2.28455,120.27832,1/2011-12/2011,21893,,Epd,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Measles,Measles,Indonesia,-8.40952,115.18892,1/2013-11/2013,6300,,Epd,"Natahadibrata, Nadya. ""Govt plays down measles 
outbreak."" The Jakarta Post. December 12, 2013.",http://www.thejakartapost.com/news/2013/12/12/govt-plays-down-measles-outbreak.html
Other,Typhoid Fever,Indonesia (Jakarta),-6.21154,106.84517,12/2011,1,,Isl,"Primanita, Arientha. ""Ibu Ani Treated for Typhoid: Doctors."" Jakarta Globe, December 29, 2011.",http://www.thejakartaglobe.com/home/ibu-ani-treated-for-typhoid-doctors/487879
Measles,Measles                                       ,Ireland (Belfast)                 ,55.9845,-5.935594,10/2009,60,,Epd,"Bellefast Telegraph, ""HSE warns of measles outbreak in South, Southwest, and West,"" October 22, 2009.",http://www.belfasttelegraph.co.uk/breaking-news/uk-ireland/hse-warns-of-measles-outbreak-in-south-southwest-and-west-14540975.html
Measles,Measles,Ireland (Belfast),53.581657,-5.935594,10/2010,8,,2nd,"Smyth, Lisa. ""Measles outbreak declared after eight fall ill."" Bellefast Telegraph, October 14, 2010.",http://www.belfasttelegraph.co.uk/news/local-national/northern-ireland/measles-outbreak-declared-after-eight-fall-ill-14976232.html
Measles,Measles,Ireland,53.34399,-6.30615,08/2011-09/2011,139,,Epd,"Irish Examiner, ""139 Cases of measles reported in two months,"" November 3, 2011.",http://www.examiner.ie/breakingnews/ireland/139-cases-of-measles-recorded-in-two-months-526871.html
Measles,Measles,Ireland,53.41291,-8.24389,08/2011,23,,Clst,"Measles outbreak in Eastern Ireland, 2011 . Disease Survellience Report of HPSC 12, no. 11 (2011).",http://ndsc.newsweaver.ie/epiinsight/1fng5qmgsrbbsjyxp8wi4b?a=1&p=18519345&t=17517774
Measles,Measles,Ireland (West Cork),51.89787,-8.47109,07/2012,64,,Clst,"Irish Health, ""Cork measles outbreak worsens,"" July 2, 2012.",http://www.irishhealth.com/article.html?id=20839
Measles,Measles,Ireland (Belfast),54.57007,-5.95184,12/2012,4,,Clst,"Measles outbreak declared afrter four cases detected. New Letter. December 12, 2012.",http://www.newsletter.co.uk/news/headlines/measles-outbreak-declared-after-four-cases-detected-1-4579638
Measles,Measles,Ireland,53.41291,-8.24389,1/2012-12/2012,217,,Epd,"O'Regan, Eilish.  ""Cases of measles rose in aeras where HSE stopped jabs."" Independent.  December 8, 2012.",http://www.independent.ie/national-news/cases-of-measles-rose-in-areas-where-hse-stopped-jabs-3319294.html
Mumps,Mumps,Israel,31.046051,34.851612,1/2010- 7/2010,4185,,Epd,"Travel Medical Alliance, ""Outbreak Information and News,"" August 1, 2010.",http://www.listmanagement.com.au/ems/archives.php?n=bh3jhasx8f&c=mn7hk1yfbe
Measles,Measles,Israel,31.44741,34.9585,9/2011,12,,Clst,"Forum, ""Health Ministry calls upon Ukrainians to get vaccinated against measles,"" October 31, 2011.",http://en.for-ua.com/news/2011/10/31/115840.html
Measles,Measles,Israel,31.04605,34.85161,5/2012,96,,Epd,"Even, Dan. ""After years of calm, measles cases spike in northern Israel."" Haaretz Daily Newspaper. June 4, 2012.",http://www.haaretz.com/news/national/after-years-of-calm-measles-cases-spike-in-northern-israel-1.434340
Mumps,Mumps,Israel,31.99991,36.851612,09/2011,105,,Epd,"Even, Dan . ""Ministry: Israel in midst of mumps outbreak ."" Haaretz.com, November 17, 2009.",http://www.haaretz.com/print-edition/news/ministry-israel-in-midst-of-mumps-outbreak-1.4050
Polio,Polio,Israel,31.24757,34.86119,8/2013,7,,Clst,"Even, Dan. ""Health Ministry mulls using live vaccine to combat spread of polio in Israel."" Haaretz. July 31, 2013. (Note: The 7 “cases” are evidence of infection, but not of disease.)",http://www.haaretz.com/news/national/.premium-1.538857
Measles,Measles,Italy,41.87194,12.56738,1/2011-12/2011,5189,,Epd,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Measles,Measles,Italy,42.9725,12.40356,11/2011-10/2012,724,,Epd,"European Centre for Disease Prevention and Control, ""Measles and rubella monitoring, December 2012,"" December 21, 2012.
",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Rubella,Rubella,Japan,35.63944,136.53809,1/2012-12/2012,2353,,Epd,"Nakata, Hiroko, ""Rubella outbreak spreading quickly,"" The Japan Times, February 8, 2013.",http://www.japantimes.co.jp/news/2013/02/08/national/rubella-outbreak-spreading-quickly/#.US_EuDCR9dd
Rubella,Rubella,Japan,37.99616,140.05371,1/2013-6/2013,10102,,Epd,"Aquino, Faith. ""Over 10,000 cases of Rubella recorded so far in Japan this year."" Japan Daily Press. June 18, 2013.",http://japandailypress.com/over-10000-cases-of-rubella-recorded-so-far-in-japan-this-year-1830810
Rubella,Rubella,Japan (Tokyo),35.68853,139.21875,2/2013,133,,Epd,"Infectious Disease Surveillance Center, ""Web edition: infection surveillance spreadsheet report the number of patients reporting disease,"" February 29, 2013.",http://survey.tokyo-eiken.go.jp/epidinfo/weeklyzensu.do
Measles,Measles,Japan,39.26628,140.93262,1/2012-12/2013,293,,Epd,"The National Institute of Infectious Diseases, ""Infectious Agents Surveillance Report, Vol. 34, No. 2 (No. 396),"" February 21-23, 2013.",http://www.nih.go.jp/niid/en/index-e/865-iasr/3234-tpc396.html
Measles,Measles,Japan ,36.20482,138.25292,2/2014,46,,Clst,"The Japan News. ""Signs of measles outbreak; number hits 46."" February 9, 2014.",http://the-japan-news.com/news/article/0001017282
Measles,Measles,Jordan (Zaatari Refugee Camp),32.4186,38.31657,4/2013,13,,Clst,"Malkawi, Khetam. ""13 cases of measles detected among Syrian refugees."" The Jordan Times, April 17, 2013.",http://jordantimes.com/13-cases-of-measles-detected-among-syrian-refugees
Polio,Polio,Kenya,-0.02356,37.90619,09/2011,3,,Clst,"Alert Net. ""KENYA: Thousands of children to be immunized amid polio outbreak."" September 19, 2011.",http://www.trust.org/alertnet/news/kenya-thousands-of-children-to-be-immunized-amid-polio-outbreak
Polio,Polio                                             ,Kenya                                            ,-0.023559,37.01231,5/2009,13,,Clst,"Kaiser Daily Global Health Policy Report. ""Kenyan Health Officials Confirm 13 New Polio Cases."" Kaiser Family Foundation, May 21, 2009.",http://globalhealth.kff.org/Daily-Reports/2009/May/21/52109-Polio.aspx
Polio,Polio,Kenya,0.05426,40.30837,5/2013-7/2013,14,,Clst,"Global Polio Eradication Initiative. ""Polio this week - as of 08 January 2014."" January 8, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Measles,Measles,Kenya,-0.05725,37.83897,1/2010-12/2010,1279,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Kenya (Pokot),1.58887,35.285,9/2012,500,3,Epd,"Osinde Obare. ""Measles outbreak claims 3 children in Pokot."" Rift Valley. September 20, 2012.",http://www.standardmedia.co.ke/?articleID=2000066499&pageNo=2
Measles,Measles,Kenya (Nandi),0.18359,35.12688,9/2012,5,,Clst,"Barry Salil. ""Kenya: Doctors warn against measles outbreak."" The Star. September 14, 2012.",http://allafrica.com/stories/201209140157.html
Measles,Measles,Kenya (Kimilili),0.78333,34.71667,8/2012,20,3,Clst,"John Nalianya. ""Fears over measles outbreak."" The Star. August 30, 2012.       ",http://www.the-star.co.ke/local/western--nyanza/92207-measles-alert-in-kimilili-3-children-dead
Measles,Measles,Kenya (Narok North),-1.08333,35.86667,1/2012-10/2012,346,,Epd,"Kiplang'at Kirui, ""Kenya: Drop in Measles Cases,"" The Star, October 8, 2012.",http://allafrica.com/stories/201210090123.html
Measles,Measles,Kenya,-0.0418,37.94291,1/2009-12/2009,1374,,Epd,"William j. Moss, Diane E. Griffin. ""Measles."" The Lancet.
January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
